State Name (state_name),State Code (state_code),Forest division name (division),Forest range name (range),Forest Conservation Act project (fca_project),Year of initiation of project (fca_project_year),Name of the site (site_name),Area diverted in hectares (area_diverted),Type of land (land_type),Updated on (updated_on),Updated by (updated_by),Diverted land GPS identifier (diverted_land_gps_id),
Haryana,6,Rewari,Rewari,Laying of under ground steel pipe line Gopal Dev Chowk Rewari to HPCL filling station in Ladhuwas Ahir village [38148],2020,Gopal Dev Chowk Rewari to HPCL filling station in Ladhuwas Ahir village,0.16,Protected Forest (PF),01-10-2020,DFO Rewari,11148,
Gujarat,24,Kutch-East,Mundra,CONST OF RAILWAY LINE FOR ADANI PORT LIMITED [17767],2000,RAILWAY LINE FOR ADANI PORT LIMITED,57.75,Reserved Forest (RF),04-03-2015,DFO Kutch-East,3458,
Uttarakhand,5,"DFO Mussoorie, Mussoorie","RO raipur , Mussoorie",CONSTRUCTION OF BRIDGE ON SONG RIVER ON RAIPUR THANO BHOGPUR ROAD [12988],1995,Bhupalpani-8,4,Reserved Forest (RF),23-01-2016,"DFO Mussoorie, Mussoorie",7075,
Uttar Pradesh,9,Social Forestry Division Basti,Kaptanganj,WIDENING OF 4 LANING IN KM.143.00 TO 240.600 OF NH-28 [23806],2005,KAPTANGANJ-DUBAULIYA MARG KM. 5-9,0,Proposed Protected Forest (Proposed PF),24-12-2014,DFO Social Forestry Division Basti,2794,
Tripura,16,District Forest Officer SOUTH,Bagafa,Gojalia-GCS to OTPC-Palatana Pipeline [39201],2015,Gardhang,5.608,Proposed Protected Forest (Proposed PF),05-03-2022,TR State Admin,13261,
Punjab,3,Patiala,Samana,LILO of 220KV Patran ÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ Rajla Line and 220 KV Patran ÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ Kakrala Line at 400 KV S/S PGCIL Patran [36022],2017,Diversion of 0.0910 ha of forest land for construction of LILO of 220 Kv line Patran-Rajla line a,0.091,Protected Forest (PF),23-06-2021,DFO Patiala,12271,
Punjab,3,Sangrur,Barnala,DIVERSION OF 281.8229 HA OF FOREST LAND FOR FOUR LANING OF NH-64 (PATIALA SANGRUR BARNALA BATHINDA ROAD) KM 64.000-209.5 B/S KM 64.000 TO 76.400 AND S [20082],2013,patiala-sangrur-barnala-bathinda rd km 64-209 b/s,7,CA Land Received under FCA Proposal,24-02-2021,DFO Sangrur,1806,
Punjab,3,Bathinda,Bathinda,APPROACH ROAD TO RETAIL OUTLET OF IOCL AT VILLAGE GOBINDPURA ON BATHINDA-BIBIWALA-GOBINDPURA LINK ROAD KM 8-9 L/S [20478],2009,AT VILLAGE GOBINDPURA ON BATHINDA-BIBIWALA-GOBINDPURA LINK ROAD KM 8-9 L/S,0.006,Protected Forest (PF),26-07-2015,DFO Bathinda,4397,
Telangana,36,Banswada,Pitlam,Diversion of 72.2262 ha (revised from 73.4788 ha) of forest land (in Sangareddy Division 10.4472 ha and in Bansawada Division 61.7790 ha) for 4 laning [42415],2020,In Different RF's,61.779,Reserved Forest (RF),26-02-2021,Administrator,11972,
Karnataka,29,Tumkur,Bukkapatna,"Diversion of 19.94 ha. of forest land for granting of ML in f/o M/s. Hatti Gold Mines Ltd., for extraction of gold. [746]",2001,"Ajjanahalli,Bukkapatna Range, Sy.No.16 of Gungarapenta Village",19.94,Unclassified Forest,12-07-2022,DFO Tumkur,13722,
Haryana,6,Kaithal,Pundri,Division of 0.0076 Ha. of Forest for setting up retail outlet of BPCL on Sakra-Rasina Road at village Sakra under Forest Division & District Kaithal [31613],2014,Sakra-Rasina Road at village Sakra,0.008,Protected Forest (PF),09-04-2015,DFO Kaithal,3655,
Andhra Pradesh,28,Ananthapur,Gooty,"Renewal of mining lease for Steatite and dolomite in faovur of M/s South India Mining Company Ltd, Bethamcherla, Anantapur division. [84]",1997,"Mutchukota RF (M/s South India Mining Co, Bethamcherla)",8.5,Reserved Forest (RF),25-11-2014,RO Gooty,2520,
Punjab,3,Patiala,Sirhind,Access for R P Multimetals Pvt. Ltd. [37979],2020,Diversion of 0.008779 ha of Forest Land for permission to construct approach road RP Multimetals on,0.009,Protected Forest (PF),31-01-2021,DFO Patiala,11614,
Haryana,6,Jhajjar(Central Rohtak),Jhajjar,APP. ROAD TO THE RETAIL OUTLET OF IOCL ALONG JHAJJAR-FARUKHNAGAR ROAD L/S AT VILLAGE SILANI [18289],2011,"IOCL along Jhajjar-F/Nagar Road, L/S at Silani",0.015,Protected Forest (PF),25-02-2017,DFO Jhajjar(Central Rohtak),8696,
Uttarakhand,5,"DFO Rudraprayag , Rudraprayag","RO North Jakholi , Rudraprayag",JAKHNOLI BAND TO KURCHOLA MOTOR ROAD(1.20 HA.) [12358],2007,"Taila C.NO.-4, Jakhani C.No.-3",1.2,Reserved Forest (RF),24-07-2015,"DFO Rudraprayag , Rudraprayag",4388,
Uttarakhand,5,"DFO Narendra Nagar, Narendra nagar","RO Maniknath, narendra nagar",HINDOLAKHAL TO PALETHI MULYAGAON MOTOR ROAD [3000],2010,land belongs to revanue forest,9.27,Revenue Forest,16-10-2014,"DFO Narendra Nagar, Narendra nagar",2280,
Chhattisgarh,22,South Kondagaon,Dahikonga,Diversion of 81.974ha. Forest land for 400KV DC Jagdalpur Transmission Line in Bastar district favour of Chhattisgarh State Electrical Transmission Co [32102],2013,P 771,0.474,Protected Forest (PF),28-02-2022,DFO South Kondagaon,13195,
Uttarakhand,5,"DFO , Nanda Devi national park","RO valley of flowers , NDNP",JALOTSARAN SCHEME BADRINATH NA SEWAGE TREATMENT PLANT [12520],2010,Vanpanchyat,0.318,State Forest,16-09-2017,"DFO , Nanda Devi national park",9693,
Uttarakhand,5,"DFO ,Kedarnath Wildlife Division","RO Gopeshwar, Kedarnath",CONS. OF MANDAL ANUSUYA MOTOR ROAD [3192],2005,MANDAL,0.84,Revenue Forest,12-02-2016,"DFO ,Kedarnath Wildlife Division",7282,
Madhya Pradesh,23,Mandla West(T),Beejadandi,MANDLA DISTT.RADIOREPEAR [1752],1986,MICROWAVE TOWER,0.203,Reserved Forest (RF),08-01-2018,DFO Mandla West(T),9951,
Punjab,3,Sangrur,Sangrur,APP.R D TO RETAIL OUTLET ON SANGRUR-TUNGAN-KLUAG RD. KM. 9-10 R/S [23114],2005,sangrur-thunga-Kularan RD km 9-10 R?S,0.013,CA Land Received under FCA Proposal,28-07-2016,DFO Sangrur,7841,
Meghalaya,17,"East Khasi Hills (SF) Division, Shillong",Cherrapunjee Range,DIVERSION OF FOREST LAND FOR LIME STONE MINING & OTHER ANCILLARY ACTIVITIES IN FAVOUR OF LAFARGE UMIAM MINING PRIVATE LIMITED (LUMPL) [14219],2012,Khahbadar plot-2,9.5,CA Land Received under FCA Proposal,09-06-2022,Administrator,13581,
Chhattisgarh,22,Surajpur,Pratappur,Diversion of 126.431 Ha.Forest land for Jagannathpur Open Cast Coal Project. [37505],2014,"Vill. Pampapur,",6.93,Revenue Forest,10-02-2021,DFO Surajpur,11696,
Tripura,16,District Forest Officer DHALAI,Manu,"Diversion of 34.00 ha forest land for setting up of HQ of 8th Bn TSR Camp at Lalcherra under Manu Forest Division, Dhalai District. [23161]",2013,TSR BN Head Quarter at Lalcherra.,34,Protected Forest (PF),18-06-2016,TR State Admin,7730,
Haryana,6,Karnal,Karnal,Widening & Strengthening of Road [33915],2015,Diversion of 6.44 ha. of forest land for Widening & Strengthening of Newal-Gheer-Garhi Birbal Road f,6.44,Protected Forest (PF),19-10-2020,DFO Karnal,11186,
Punjab,3,Mansa,Mansa,Diversion of 0.0124 hec approach road for Retail outlet (IOCL) at Vill. Datewas Distt.Mansa.,2014,KBC RD 303 to 318 R/s,0.045,Protected Forest (PF),07-06-2022,DFO Mansa,13543,
Andhra Pradesh,28,Kothagudem,Ramavaram,"Renewal of Mining lease of already diverted 261.31 Ha of forest land for Gowthamkhani OCP mining lease falling in Compt., No. 156/P in Ramavaram RF of [244]",2004,RF Block Ramavaram Compt. No.156 / P," Gowthamkhani""",261.31,Reserved Forest (RF),23-04-2014,DFO Kothagudem,1275
Haryana,6,Karnal,Indri,Shree Balaji Foods in the revenue estate of village Buttan Kheri Tehsil Indri & Distt. Karnal (Haryana). [36971],2015,Diversion of 0.0050 hect. of forest land for our Private Property (M/S Balaji Foods) on Indri-Umri R,0.005,Protected Forest (PF),13-10-2020,DFO Karnal,11164,
Punjab,3,Faridkot,Shri Muktsar Sahib,"Diversion of 0.006437 ha forest land for approach road to KSK at village Mallan on Mallan Rameana Jaitu Road Km 1-2 LS , District Mukatsar, Forest Div [21056]",2013,Diversion of 0.006437 ha forest land for approach road to KSK at village Mallan on Mallan Rameana Ja,0.006,Protected Forest (PF),03-12-2014,DFO Faridkot,2560,
Punjab,3,Ludhiana,Samrala,"WIDENING AND UP-GRADATION OF EXISTING ROAD FROM DHOULRAN BRIDGE TO NEELON BRIDGE, KMS.6/00 TO 26/500, L/S ALONG SIRHIND CANAL [20660]",2009,Dhoulran Bridge to Neelon Bridge,4.674,Protected Forest (PF),30-10-2014,DFO Ludhiana,2314,
Punjab,3,Jalandhar,Nakodar,APP.RD.TO RETAIL OUTLET OF IOC. LTD. AT VILL. TASHPUR [22290],2006,APP.RD.TO RETAIL OUTLET OF IOC. LTD. AT VILL. TASHPUR,0.014,Protected Forest (PF),14-07-2017,DFO Jalandhar,9176,
Uttarakhand,5,"DFO Uttarkashi, Uttarkashi","RO barahat , Uttarkashi",2X2250 KW ASSIGANGA MINI HYDEL PROJECT [23131],2010,Assi-Ganga Mini Hydro Project Phase-2,1.583,Reserved Forest (RF),28-08-2015,"DFO Uttarkashi, Uttarkashi",5207,
Uttarakhand,5,"DFO ,Kedarnath Wildlife Division","RO Nagnath , Kedarnath",HANGING BRIDGE ON NIGOL RIVER NEAR RARWA [13049],2010,rarwa,0.02,Revenue Forest,23-11-2020,"DFO ,Kedarnath Wildlife Division",7283,
Tamil Nadu,33,"Chengalpattu,Kancheepuram",Sriperumbudur,WIDENING OF VANDALUR - WALAJABAD ROAD [33238],2014,Vattambakkam RF of Sriperumbudur Range,7.12,Reserved Forest (RF),08-12-2016,Tamil Nadu,8154,
Andhra Pradesh,28,Kagaznagar,Kagaznagar,S.C.Railway Dept. [501],1982,Vempally RF Compt. No.84 and Acheli RF Compt.No.88 of Kagaznagar Division.,63.71,Reserved Forest (RF),22-01-2015,AP State Admin,61,
Chhattisgarh,22,Bilaspur,Bilaspur,Borai Nadi Bargarh Anikat [42532],2014,OA KAIMADIH,20,CA Land Received under FCA Proposal,25-03-2022,DFO Bilaspur (Chhattisgarh),12188,
Uttarakhand,5,"DFO Uttarkashi, Uttarkashi","RO Mukhem , uttarkashi",Thalam-Mustiksaur link Road [33390],1986,Thalam-Mustiksaur link Road,3.24,Reserved Forest (RF),28-07-2016,"DFO Uttarkashi, Uttarkashi",7827,
Haryana,6,Sirsa,Kalanwali,Constructing of Rattakhera Kharif Channel [33250],2015,"Fatehpuria to Jodhpuria road, Peerkhera to Jodhpuria road etc.",1.017,Protected Forest (PF),20-06-2018,DFO Sirsa,10472,
Himachal Pradesh,2,Ani at Luhari,Nither,C/o road from Moin Nalla to Buai,2022,UPF Nintha and UPF Tandi,3.72,Unclassified Forest,07-04-2022,DFO Ani at Luhari,13340,
Punjab,3,Mansa,Mansa,"Div. 0.0156 Hec of Forest Area for Approach Road to M/S virasat Resort Village Malakpur Khiala, Bhawanigarh- Kotshamir Road, Km 65-66 R/S Dis. Mansa U",2020,"Old Boha Disty RD Fatehpur Minor to Makhewala Pull B/s (Diversion of 0.0156 hec Virasat Resort, Vill",0.1,Protected Forest (PF),04-02-2022,DFO Mansa,12986,
Uttar Pradesh,9,"Kashi Wildlife, Chanduali",Majhgai,GANGAPUR BARBASPUR MARG TO KHATKHARIYAN LINK ROAD [23425],2011,GANGAPUR BARBASPUR MARG TO KHATKHARIYAN LINK ROAD,0.375,Reserved Forest (RF),17-04-2015,"DFO Kashi Wildlife, Chanduali",2629,
Tripura,16,Bagafa,Bagafa,Diversion of 1.30 ha forest land for establishment of Border Out Post[BOP] of BSF at Ghagrabasti under Bagafa Forest Division.South Tripura District. [1149],2004,Establishment of Border Out Post[BOP]by the BSF at Ghagrabasti.,1.3,Reserved Forest (RF),03-11-2014,TR State Admin,2329,
Madhya Pradesh,23,Balaghat North(T),South Lamta,UPPER BAN GANGA PROJECT (SANJAY SAROVAR PROJECT) [1325],2002,899,43.36,Reserved Forest (RF),06-12-2014,DFO Balaghat North(T),2586,
Arunachal Pradesh,12,Lohit Forest Division. Tezu,"Tezu Forest Range, Tezu",DIVERSION OF 32.88 HA OF FORESTLAND FOR IMPROVEMENT OF DIGARU-TEZU ROAD FROM 689.80 KM TO 705.285 KM IN LOHIT DISTRICT OF ARUNACHAL PRADESH-REGARDING. [32158],2013,Tezu PRF,32.88,Protected Forest (PF),24-11-2020,Arunachal Pradesh,11313,
Gujarat,24,Jamnagar,Jamjodhpur,INSTALLATION OF RADAR COMMUNICATION PROJECT [14462],1982,INSTALLATION OF RADAR COMMUNICATION PROJECT,26.15,Reserved Forest (RF),05-02-2015,DFO Jamnagar,3207,
Haryana,6,Karnal,Karnal,"For access to retail outlet of IOCLtd. along karnal-kaithal road, near km. stone 15, near Jail Farm, Karnal [34567]",2017,"Diversion of 0.0131 ha. of forest land for proposed Retail Outlet on Karnal-Kaital Road, Near Km. St",0.013,Protected Forest (PF),19-10-2020,DFO Karnal,11191,
Uttarakhand,5,"DFO Narendra Nagar, Narendra nagar","RO shivpuri , Narendra nagar",KOL -KODANA MOTOR ROAD UNDER PMGSY PHASE-8 KM. 0 TO KM 6 [11454],2009,Kusherla,0.72,Revenue Forest,30-07-2015,"DFO Narendra Nagar, Narendra nagar",4494,
Punjab,3,Dasuya,Mukerian,Diversion 0.0223 ha of approach road for construction of petrol pump on Mukerian- Hajipur road R/s near village Sandhwal under Dasuya Division. [33704],2010,Mukerian- Hajipur road KM 11-12 R/s near village Sandhwal,0.022,Protected Forest (PF),27-07-2016,DFO Dasuya,7819,
Punjab,3,Patiala,Nabha,WIDENING OF NABHA-MALRKOTLA RD. [22173],2006,NABHA-MALRKOTLA RD.,5.826,Protected Forest (PF),17-08-2015,DFO Patiala,4820,
Karnataka,29,Haliyal,Haliyal,Diversion of 330.6 ha or say 330 ha. of f/l for constn.for 400 KV DC alternate TC between Kaiga NPP & 220 KV sub-station at Narendra in f/o M/s. PGCIL [707],2003,Kanara Circle (300.75) Haliyal 101.131 ha,101.131,Unclassified Forest,05-11-2016,DFO Haliyal,3418,
Punjab,3,Amritsar,Taran Taran,CONST OF NEW B.G. RAILWAY LINK FROM GOINDWAL SAHIB AND TARN TARAN [21931],2008,RAILWAY LINK FROM GOINDWAL SAHIB AND TARN TARAN,0.748,Protected Forest (PF),19-08-2015,DFO Amritsar,4891,
Sikkim,11,South Territorial,Namchi,Diversion of 40.9299 Ha. of Forest land for laying of LOOP OUT of 400KV Double Circuit Tessta Stage - III HEP Kishanganj Transmission Line at Rangpo S,2019,"Teesta III to Kishanganj Loop Out at, Samardung, Rangpoo, South Sikkim",40.93,Reserved Forest (RF),18-08-2021,SK State Admin,12383,
Punjab,3,Gurdaspur,Gurdaspur,"APPROACH ROAD TO THE RETAILOUTLET TO NEW PETROL PUMP OF HPCL ON PURANA SHALACHAK SHARIF ROAD KM. 2-3, L/S AT VILLAGE SAIDOWAL KALAN [20222]",2011,APPROACH ROAD TO THE RETAILOUTLET TO NEW PETROL PUMP OF HPCL ON PURANA SHALACHAK SHARIF ROAD KM. 2-3,0.04,Protected Forest (PF),20-03-2016,DFO Gurdaspur,7480,
Tamil Nadu,33,Trichy,Trichy,HEAVY ALLOY PENETRATOR PROJECT FOR WATER SUPPLY SCHEME FOR DEFENCE DEPARTMENT AT KAMBARASANPETTAI RF IN TRICHY DIVISION [26227],1986,Kambarasan pettai RF,0.174,Protected Forest (PF),12-12-2020,DFO Trichy,11439,
West Bengal,19,"Panchet Division, Bishnupur",Bishnupur,DIVERSION OF 31.76 HA OF FOREST LAND FOR CONSTRUCTION OF TAREKESWAR-BISHNUPUR NEW BROAD GUAGE LINE. [31171],2007,Broad Gauge Railway Line vide No. - WBC008/2007-BHU dt.-28/0/2007,32,Protected Forest (PF),27-11-2020,"DFO Panchet Division, Bishnupur",11344,
Uttarakhand,5,"DFO Tehri , New Tehri","RO Bhilangna , Tehri",Akhori-Koti [part-i] MR [32343],1983,Jakh Beat,1.225,Reserved Forest (RF),29-09-2015,"DFO Tehri , New Tehri",6081,
Uttarakhand,5,"DFO Champawat , Champawat","RO Boom , Champawat",BORDER POST IN THULIGAD (0.500 HA.) [30708],2006,KALSANDEV 4,0.5,Reserved Forest (RF),22-08-2015,"DFO Champawat , Champawat",4981,
Punjab,3,Sangrur,Malerkotla,Diversion of 0.0360 ha of forest land in favour of PSPCL for 66kv T- off Line for New 66kv G/s/s Cheema SC/DC Tower Line under forest Division & Distt [31705],2014,Various strips OF SANGRUR RANGE,0.036,CA Land Received under FCA Proposal,23-01-2016,DFO Sangrur,7096,
Tripura,16,Ambassa,Ambassa,Diversion of 0.96 ha forest land for establishment of Border Out Post[BOP] of BSF at Dyke-VIII under Ambassa Forest Division. Dhalai Tripura District. [1201],2008,Establishment of Border Out Post[BOP] of BSF at Dyke-VIII.,0.96,Protected Forest (PF),09-03-2022,TR State Admin,2204,
Punjab,3,Jalandhar,Jalandhar,"FOREST LAND FOR WIDENING & STRENGTHENING OF LANING OF JALANDHAR-AMRITSAR SECTION OF NH-1, [21311]",2007,FOREST LAND FOR WIDENING & STRENGTHENING OF LANING OF JALANDHAR-AMRITSAR SECTION OF NH-1,62.05,Protected Forest (PF),29-07-2017,DFO Jalandhar,9390,
Uttarakhand,5,"DFO Bageshwar, Bageshwar","RO Baijnath ,Bageshwar",SAINIK REST HOUSE [3239],2012,Bajnath,0.099,Reserved Forest (RF),13-10-2015,"DFO Bageshwar, Bageshwar",6266,
Punjab,3,Bathinda,Bathinda,"APPROACH ROAD TO THE STORAGE OF PERTROLEUM PRODUCTS ON BATHINDA-DABWALI ROAD KM. 9-10, L/S AT VILLAGE JODHPURA ROMANA [20471]",2010,"BATHINDA-DABWALI ROAD KM. 9-10, L/S AT VILLAGE JODHPURA ROMANA",0.008,Protected Forest (PF),07-09-2015,DFO Bathinda,5547,
Gujarat,24,Surat,Mandvi south,LAYING DRINKING WATER PIPELINE OF BORSAD-DEGAIA WATER SUPPLY SCHEME IN FAVOUR OF PUBLIC HEALTH WORKS DIVISION [14865],2009,LAYING DRINKING WATER PIPELINE OF BORSAD-DEGAIA WATER SUPPLY SCHEME IN FAVOUR OF PUBLIC HEALTH WORKS,0.345,Reserved Forest (RF),04-02-2015,DFO Surat,3260,
Punjab,3,Patiala,Sirhind,Construction of approach road to M/s Shyam Picture Palace [37291],2017,Diversion of 0.00326 Ha of forest land for permission of approach road to M/s Shyam Picture Palace,0.003,Protected Forest (PF),22-02-2021,DFO Patiala,11922,
Uttarakhand,5,"DFO Rudraprayag , Rudraprayag","RO south Jakholi , Rudraprayag",JAKHAL -MATHIYANAKHAL MOTOR ROAD [3003],2010,"Mathiyanakhal, Kot, Dhariyanj, Udiyanganv Civil",1.53,Revenue Forest,27-06-2015,"DFO Rudraprayag , Rudraprayag",4150,
Andhra Pradesh,28,Warangal North,Bhupalpalli_North,M/s S.C.Co.Ltd for Kakatiya Khani (5 & 5 A) (Renewal) [443],2002,R.F. Tadicharla of Bupalpally (N) of Warangal North Division,144,Proposed Protected Forest (Proposed PF),25-04-2014,DFO Warangal North,1282,
Haryana,6,Hisar,Hisar,Diversion of 1.38 ha for OFC from RD 138.010 to 141 tokana park hansi to court market hisar via kulana kharan alipur raipur barwala chungi. [27775],2013,Diversion of 1.38 ha for OFC from RD 138.010 to 141 tokana park hansi to court market hisar via kula,1.38,Protected Forest (PF),17-12-2018,DFO Hisar,8524,
Punjab,3,Ferozepur,Zira,APPROACH ROAD TO RETAIL OUTLET OF HPCL ON KHOSA DAL SINGH WALA ROAD AT VILLAGE SADHUWALA FT. DIVN. FEROZEPUR [20212],2010,KHOSA DAL SINGH WALA ROAD AT VILLAGE SADHUWALA,0.017,Protected Forest (PF),17-10-2015,DFO Ferozepur,6313,
Andhra Pradesh,28,Guntur,Repalle,"Erection of 11KV Line from Bapatla to Suryalanka in f/o DE, Tenali [26838]",2000,Muttayapalem RF,0.914,Reserved Forest (RF),20-11-2014,DFO Guntur,2463,
Uttar Pradesh,9,Social Forestry Division Unnao,Unnao,WIDENING 2 TO 4 LANE OF NH-25 FROM KM.27.6 TO 44 [23944],2001,LUCKNOW KANPUR NH 25 27.6 TO 44,23.78,Protected Forest (PF),01-08-2015,DFO Social Forestry Division Unnao,4513,
Uttarakhand,5,"DFO Haldwani , Haldwani","RO Chhakata , Haldwani",TUBE WELL AND OVER HEAD TANK RAJPURA HALDWANI [12701],2009,Sultannagri Block,0.047,Reserved Forest (RF),20-06-2015,"DFO Haldwani , Haldwani",4100,
Tamil Nadu,33,Nilgiris North,Kothagiri,Erection of power supply line to tribal house holds in Sinnathushola R.F in Nilgiris North Division. [37679],2006,Sinnathushola R.F in Kotagiri Forest Range,0.28,Reserved Forest (RF),10-12-2020,DFO Nilgiris North,11429,
Uttarakhand,5,"DFO Rudraprayag , Rudraprayag","RO Rudraprayag , Rudraprayag",KOT-DHAULTIR-LINK M.R. [3223],2007,"Kot, Dobha, Marora Civil",2.676,Revenue Forest,16-07-2015,"DFO Rudraprayag , Rudraprayag",4308,
Tamil Nadu,33,Sivagangai,Sivagangai,Construction of 400 KV Double Circuit Transmission line. [31962],2009,Thiruvelangudi RF,4.6,Reserved Forest (RF),17-02-2017,DFO Sivagangai,8686,
Uttarakhand,5,"DFO Tehri , New Tehri","RO Balganga, Tehri",BUDAKEDAR - AYARKHAL MOTOR ROAD [14090],2007,Marwadi Beat,10.237,Reserved Forest (RF),24-12-2014,"DFO Tehri , New Tehri",2800,
Haryana,6,Bhiwani(West Circle Hissar),Bhiwani,SETTING UP OF IBP PETROL PUMP ON HANSI-BHIWANI ROAD KM 32-33 R/S VILLAGE TIGRANA [33602],2009,Hansi Bhiwani Road,0.025,Protected Forest (PF),03-10-2020,DFO Bhiwani(West Circle Hissar),11153,
Uttarakhand,5,"DFO Garhwal , Pauri","RO pauri , garhwal",KHOLA-KATHUD-SYALANGI MOTOR ROAD [12117],2010,0,4.408,Revenue Forest,29-03-2016,"DFO Garhwal , Pauri",7540,
Haryana,6,Hisar,Hansi,"CONST. OF HISSAR-GHAGGAR M/P CHANNAL RD 337350-398600 & BAS M/P CHANNEL RD 0 TO 155580,. [16770]",2007,"HISSAR-GHAGGAR M/P CHANNAL RD 337350-398600 & BAS M/P CHANNEL RD 0 TO 155580,.",2.287,Protected Forest (PF),29-10-2018,DFO Hisar,8805,
Haryana,6,Mahendergarh,Mahendergarh,Proposal for Retail Outlet at Village Khudana on Akoda Kadma road in Division & District Mahendergarh Haryana. [27807],2013,Retail Outlet at Village Khudana on Akoda Kadma road in Division & District Mahendergarh Haryana.,0.009,Protected Forest (PF),08-10-2017,DFO Mahendergarh,7653,
Haryana,6,Bhiwani(West Circle Hissar),Tosham,APP. RD. TO THE RETAIL OUTLET BY IOCL AT VILLAGE KHANAK ON HISAR-TOSHAM RD. [17059],2007,AT VILLAGE KHANAK ON HISAR-TOSHAM RD.,0.01,Protected Forest (PF),04-02-2017,DFO Bhiwani(West Circle Hissar),8428,
Karnataka,29,Kundapur,Shankaranarayana,Renewal of 0.30 ha (earlier 0.42 ha.) of f/l for Microwave Station at Ramdurg (ukkad) in Belguam Dist in f/o BSNL [898],1994,"Microwave station Koppa, Ajri",0.5,CA Land Received under FCA Proposal,08-11-2019,RO Shankaranarayana,11021,
Madhya Pradesh,23,Singrauli,Jiyavan,400 KV TRANSMISSION LINE SINGRAULI-JAIPUR [2594],1985,P-776,4.99,Protected Forest (PF),20-02-2019,DFO Singrauli,10795,
Tripura,16,Ambassa,Ambassa,Diversion of 0.971 ha of forest land for establishment of Border Out Post[BOP] by BSF at Sukhraicherra under Ambassa Forest Division.Dhalai District. [1220],2008,Establishment of Border Out Post[BOP] by the BSF at Sukhraicherra.,0.971,Protected Forest (PF),20-08-2013,TR State Admin,931,
Tripura,16,Bagafa,Bagafa,Diversion of 0.971 ha of forest land for establishment of Border Out Post[BOP] of BSF at Bhangamura under Bagafa Forest Division. South Tripura Dist. [1207],2010,Establishment of Border Out Post[BOP] of BSF at Bhangamura,0.971,Proposed Protected Forest (Proposed PF),29-12-2012,Administrator,775,
Uttarakhand,5,"DFO Uttarkashi, Uttarkashi","RO Dharasu , uttarkashi",KALYANI TO HARETI MOTOR ROAD [30064],2011,KALYANI TO HARETI MOTOR ROAD,1.476,Reserved Forest (RF),26-02-2016,"DFO Uttarkashi, Uttarkashi",7332,
Punjab,3,Sangrur,Malerkotla,"RETAIL OUTLET AT VILLAGE BANERA, LUDHIANA-HISSAR ROAD, KM. 68-69 R/S [21471]",2004,ludhiana-hisar road km 68-69 r.s,0.024,CA Land Received under FCA Proposal,04-12-2015,DFO Sangrur,6839,
Punjab,3,Hoshiarpur,Hoshiarpur,"CONST. OF BRIDGE ON HOSHIARPUR-UNA ROAD AT VILLAGE CHAK SANDHU KM. 14, [20634]",2010,"CONST. OF BRIDGE ON HOSHIARPUR-UNA ROAD AT VILLAGE CHAK SANDHU KM. 14,",0.747,Protected Forest (PF),27-10-2015,DFO Hoshiarpur,6381,
Madhya Pradesh,23,Balaghat North(T),North Lamta,11 kv bhondwa-maira electric line [31834],2014,comp. No. 425/1189,0.56,Reserved Forest (RF),23-07-2015,DFO Balaghat North(T),4336,
Uttarakhand,5,"DFO Tons,Purola","RO Kotigad, Tons",GAMRI TO MAIJANI MOTOR ROAD(12.347) [12272],2008,"Sekal-1 & 2, Lambatach",12.347,Reserved Forest (RF),23-04-2019,"DFO Tons,Purola",10891,
Uttarakhand,5,"DFO Almora , Almora","RO Ranikhet ,Almora",DIVERSION OF FOREST LAND FOR CONST. OF CHAMOLI DWSS [12717],1990,chamoli,0.043,Reserved Forest (RF),28-08-2015,"DFO Almora , Almora",5193,
Uttar Pradesh,9,Social Forestry Division Basti,Harriya,WIDENING OF 4 LANING IN KM.143.00 TO 240.600 OF NH-28 [23806],2005,RAMJANKI MARG KM 4-8,0,Protected Forest (PF),07-02-2015,DFO Social Forestry Division Basti,3316,
Uttarakhand,5,"DFO Chakrata , Kalsi","RO devdhar, Chakrata",J.P.R.R. MOTOR ROAD TO RAYGI MOTOR ROAD UNDER PMGSY (1.2825 HA.) [11385],2007,akara-13b,1.283,Reserved Forest (RF),01-09-2015,"DFO Chakrata , Kalsi",5379,
Punjab,3,Gurdaspur,Aliwal,Diversion of 0.522 ha of forest land for construction of 2000 KW Mini Hydro Power Project on Main Branch Upper Canal RD 79478 to 80343 R/s Village Nar [32062],2014,2000 KW Mini Hydro Power Project on Main Branch Upper Canal RD 79478 to 80343 R/s Village Narwan to,0.522,Protected Forest (PF),18-08-2015,DFO Gurdaspur,4865,
Haryana,6,Sirsa,Sirsa,APPROACH ROAD TO RETAIL OUTLET OF HPCL ALONG DING-MANDI-KUDESAR CHOPTA ROAD KM. 16 R/S [18328],2012,Ding Mandi-Ludesar -Chopta road Km. 16 R/s at village Narainkhera,0.006,Protected Forest (PF),04-07-2015,Sirsa,4188,
Punjab,3,Patiala,Sirhind,Div of 0.1263 Ha of forest land for four laining of Chd-Landran Chunni Sirhind road (SH-12 A) Km 38 to 41.336 to 41.570 and 42.220 to 43.900 under for,2019,Div of 0.1263 Ha of forest land for four laining of Chd-Landran Chunni Sirhind road (SH-12 A) Km 38,0.126,Protected Forest (PF),04-09-2021,DFO Patiala,12423,
